Number,Type,Date_original,Date_number,Date,Name,Sex,Sex2,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured,
356,Motive Confirmed,"March 18, 2011",2011,,Noel López Olguín,Male,Male,Mexico,Freelance,Mexico,Print,"Columnist, Photographer",Crime,Yes,Local,Criminal Group,Murder,Yes,Yes,No,"No
",
357,Motive Confirmed,"March 13, 2011",2011,"February 24, 2011",Mohamed al-Hamdani,Male,Male,Iraq,Al-Itijah ,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
358,Motive Confirmed,March 2011,2011,"February  4, 2011",Ahmad Mohamed Mahmoud,Male,Male,Egypt,Al-Ta'awun,Egypt,Print,Print Reporter,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
359,Motive Confirmed,"February 24, 2011",2011,"January 24, 2011",Gerardo Ortega,Male,Male,Philippines,DWAR,Philippines,Radio,Columnist,"Business, Corruption, Politics",No,Local,Government Officials,Murder,Partial,No,Yes,"No
",
360,Motive Confirmed,"February  4, 2011",2011,"January 23, 2011",Umesh Rajput,Male,Male,India,Nai Dunia ,India,Print,Print Reporter,"Corruption, Human Rights, Politics",No,Local,Local Residents,Murder,Yes,No,Yes,"No
",
361,Motive Confirmed,"January 24, 2011",2011,"January 17, 2011",Lucas Mebrouk Dolega,Male,Male,Tunisia,European Pressphoto Agency,France,"Print, Internet",Photographer,Politics,No,Foreign,Military Officials,Dangerous Assignment,,No,No,"No
",
362,Motive Confirmed,"January 23, 2011",2011,"January 13, 2011",Wali Khan Babar,Male,Male,Pakistan,Geo TV,Pakistan,Television,Broadcast,"Corruption, Crime, Human Rights, Politics",No,Local,Political Group,Murder,Partial,No,Yes,"No
",
363,Motive Confirmed,"January 17, 2011",2011,"December 17, 2010",Alfrets Mirulewan,Male,Male,Indonesia,Pelangi Weekly,Indonesia,Print,Editor,Crime,No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
",
364,Motive Confirmed,"January 13, 2011",2011,"December 12, 2010",Omar Rasim al-Qaysi,Male,Male,Iraq,Al-Anbar TV,Iraq,Television,Broadcast,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,,,"
",
365,Motive Confirmed,"December 17, 2010",2010,"December  6, 2010",Pervez Khan,Male,Male,Pakistan,Waqt TV,Pakistan,Television,"Broadcast, Camera Operator","Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
366,Motive Confirmed,"December 12, 2010",2010,"December  6, 2010",Abdul Wahab,Male,Male,Pakistan,Express News,Pakistan,Television,"Broadcast, Camera Operator","Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
367,Motive Confirmed,"December  6, 2010",2010,"November  5, 2010",Carlos Alberto Guajardo Romero,Male,Male,Mexico,Expreso Matamoros,Mexico,Print,Print Reporter,Crime,No,Local,Military Officials,Dangerous Assignment,,No,No,"No
",
368,Motive Confirmed,"December  6, 2010",2010,"October 18, 2010",Francisco Gomes de Medeiros,Male,Male,Brazil,Radio Caicó,Brazil,"Radio, Internet","Broadcast, Editor, Internet Reporter","Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Partial,No,Yes,"No
",
369,Motive Confirmed,"November  5, 2010",2010,"October  4, 2010",Tahrir Kadhim Jawad,Male,Male,Iraq,freelance,Iraq,Television,Camera Operator,"Culture, Politics, War",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
",
370,Motive Confirmed,"October 18, 2010",2010,"September 16, 2010",Luis Carlos Santiago,Male,Male,Mexico,El Diario,Mexico,Print,Photographer,"Crime, Culture, Human Rights, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
371,Motive Confirmed,"October  4, 2010",2010,"September 14, 2010",Misri Khan,Male,Male,Pakistan,Ausaf and Mashriq,Pakistan,Print,Print Reporter,"Culture, Politics, War",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",
372,Motive Confirmed,"September 16, 2010",2010,"September 11, 2010",Paul Kiggundu,Male,Male,Uganda,TOP Radio and TV,Uganda,"Radio, Television",Broadcast,Crime,Yes,Local,Mob Violence,Murder,Yes,No,No,"No
",
373,Motive Confirmed,"September 14, 2010",2010,"September  8, 2010",Safa al-Din Abdel Hamid,Male,Male,Iraq,Al-Mosuliya,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
374,Motive Confirmed,"September 11, 2010",2010,"September  7, 2010",Riad al-Saray,Male,Male,Iraq,Al-Iraqiya,Iraq,Television,Broadcast,Culture,No,Local,Political Group,Murder,Yes,No,No,"No
",
375,Motive Confirmed,"September  8, 2010",2010,"September  6, 2010",Ejaz Raisani,Male,Male,Pakistan,Samaa TV,Pakistan,Television,Camera Operator,Politics,No,Local,"Criminal Group, Mob Violence",Dangerous Assignment,,No,No,"No
",
376,Motive Confirmed,"September  7, 2010",2010,"September  5, 2010",Alberto Graves Chakussanga,Male,Male,Angola,Radio Despertar,Angolan,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
377,Motive Confirmed,"September  6, 2010",2010,"September  3, 2010",Aleh Byabenin,Male,Male,Belarus,Charter 97,Belarus,Internet,"Editor, Publisher","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
378,Motive Confirmed,"September  5, 2010",2010,"August 24, 2010",Barkhat Awale,Male,Male,Somalia,Hurma Radio,Somalia,Radio,Editor,"Culture, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
",
379,Motive Confirmed,"September  3, 2010",2010,"August 21, 2010",Ridwan Salamun,Male,Male,Indonesia,Sun TV,Indonesia,Television,Broadcast,Culture,Yes,Local,Mob Violence,Murder,Yes,No,No,"No
",
380,Motive Confirmed,"August 24, 2010",2010,"August  3, 2010",Assaf Abu Rahal,Male,Male,Lebanon,Al-Akhbar,Lebanon,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
381,Motive Confirmed,"August 21, 2010",2010,"July 30, 2010",Ardiansyah Matra'is,Male,Male,Indonesia,Merauke TV,Indonesia,Television,Broadcast,"Business, Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,Yes,Yes,"Yes
",
382,Motive Confirmed,"August  3, 2010",2010,"July 20, 2010",Vijay Pratap Singh,Male,Male,India,Indian Express,India,Print,Print Reporter,"Business, Politics",No,Local,Political Group,Dangerous Assignment,,,,"
",
383,Motive Confirmed,"July 30, 2010",2010,"July 19, 2010",Sokratis Giolias,Male,Male,Greece,"Thema 98.9, Troktiko",Greece,"Radio, Internet","Broadcast, Internet Reporter",Corruption,No,Local,Political Group,Murder,Yes,No,No,"No
",
384,Motive Confirmed,"July 20, 2010",2010,"June 26, 2010",Jean-Léonard Rugambage,Male,Male,Rwanda,Umuvugizi,Rwanda,"Print, Internet","Editor, Internet Reporter, Print Reporter",Politics,No,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No
",
385,Motive Confirmed,"July 19, 2010",2010,"June 24, 2010",James P. Hunter,Male,Male,Afghanistan,"Fort Campbell Courier, U.S. military publications",American,Print,"Photographer, Print Reporter",War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
",
386,Motive Confirmed,"June 26, 2010",2010,"June 16, 2010",Joselito Agustin,Male,Male,Philippines,DZJC,Philippine,Radio,Columnist,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
387,Motive Confirmed,"June 24, 2010",2010,"June 14, 2010",Desidario Camangyan,Male,Male,Philippines,Sunrise FM,Philippine,Radio,Columnist,Corruption,Yes,Local,Government Officials,Murder,Yes,No,Yes,"No
",
388,Motive Confirmed,"June 16, 2010",2010,"May 28, 2010",Ejazul Haq,Male,Male,Pakistan,City-42 TV,Pakistan,Television,"Broadcast, Technician",War,No,Local,Unknown Fire,Dangerous Assignment,,,,"
",
389,Motive Confirmed,"June 14, 2010",2010,"May 19, 2010",Fabio Polenghi,Male,Male,Thailand,freelance,Italy,Print,Photographer,"Culture, War",Yes,Foreign,Unknown Fire,Dangerous Assignment,,,,"
",
390,Motive Confirmed,"May 28, 2010",2010,,Ghulam Rasool Birhamani,Male,Male,Pakistan,Daily Sindhu Hyderabad ,Pakistani,Print,Print Reporter,Culture,No,Local,Mob Violence,Murder,Yes,Yes,Yes,"Yes
",
391,Motive Confirmed,"May 19, 2010",2010,"May  5, 2010",Sardasht Osman,Male,Male,Iraq,freelance,Iraq,"Print, Internet","Internet Reporter, Print Reporter",Corruption,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"No
",
393,Motive Confirmed,"May  5, 2010",2010,"April 24, 2010",Sunday Gyang Bwede,Male,Male,Nigeria,The Light Bearer,Nigeria,Print,Print Reporter,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
",
394,Motive Confirmed,"May  4, 2010",2010,"April 24, 2010",Nathan S. Dabak,Male,Male,Nigeria,The Light Bearer,Nigeria,Print,Editor,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
",
395,Motive Confirmed,"April 24, 2010",2010,"April 22, 2010",Germain Cyrille Ngota Ngota,Male,Male,Cameroon,Cameroon Express,Cameroon,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Dangerous Assignment,,,,"
",
396,Motive Confirmed,"April 24, 2010",2010,"April 17, 2010",Azamat Ali Bangash,Male,Male,Pakistan,Samaa TV,Pakistani,Television,"Broadcast, Internet Reporter",,No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
397,Motive Confirmed,"April 22, 2010",2010,"April 16, 2010",Malik Arif,Male,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
398,Motive Confirmed,"April 17, 2010",2010,"April 10, 2010",Hiro Muramoto,Male,Male,Thailand,Reuters,Japan,"Television, Internet",Camera Operator,Politics,No,Foreign,Unknown Fire,Dangerous Assignment,,,,"
",
399,Motive Confirmed,"April 16, 2010",2010,"March 19, 2010",Clodomiro Castilla Ospino,Male,Male,Colombia,El Pulso del Tiempo,Colombian,Print,"Editor, Publisher","Corruption, Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
400,Motive Confirmed,"April 10, 2010",2010,"March 14, 2010",Nahúm Palacios Arteaga,Male,Male,Honduras,TV Channel 5,Honduras,Television,Broadcast,"Corruption, Crime, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
401,Motive Confirmed,"March 19, 2010",2010,"March 11, 2010",David Meza Montesinos,Male,Male,Honduras,"Radio El Patio, Radio America, Channel 45",Honduras,"Radio, Television",Broadcast,"Corruption, Crime, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
402,Motive Confirmed,"March 14, 2010",2010,"March  1, 2010",Joseph Hernández Ochoa,Male,Male,Honduras,TV Channel 51,Honduras,Television,Broadcast,Culture,Yes,Local,Political Group,Murder,Yes,No,No,"No
",
403,Motive Confirmed,"March 11, 2010",2010,"February 13, 2010",Muhammad al-Rabou'e,Male,Male,Yemen,Al-Qahira,Yemeni,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
404,Motive Confirmed,"March  1, 2010",2010,"January 10, 2010",Rupert Hamer,Male,Male,Afghanistan,Sunday Mirror,British,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
",
405,Motive Confirmed,"February 13, 2010",2010,"January  9, 2010",Stanislas Ocloo,Male,Male,Angola,Télévision Togolaise,Togo,Television,"Broadcast, Columnist",Sports,Yes,Foreign,Political Group,Dangerous Assignment,,,,"
",
406,Motive Confirmed,"January 10, 2010",2010,"January  8, 2010",Valentín Valdés Espinosa,Male,Male,Mexico,Zócalo de Saltillo,Mexico,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
",
